node degree label
0 29 0
1 29 0
2 29 0
3 29 0
4 29 0
5 29 0
6 29 0
7 29 0
8 29 0
9 29 0
10 29 0
11 29 0
12 29 0
13 29 0
14 29 0
15 29 0
16 29 0
17 29 0
18 29 0
19 29 0
20 29 0
21 29 0
22 29 0
23 29 0
24 29 0
25 29 0
26 29 0
27 29 0
28 29 0
29 30 0
30 2 1
31 2 1
32 2 1
33 2 1
34 2 1
35 2 1
36 2 1
37 2 1
38 2 1
39 2 1
40 2 1
41 2 1
42 2 1
43 2 1
44 2 1
45 2 1
46 2 1
47 2 1
48 2 1
49 2 1
50 2 1
51 2 1
52 2 1
53 2 1
54 2 1
55 2 1
56 2 1
57 2 1
58 2 1
59 2 1
60 30 0
61 29 0
62 29 0
63 29 0
64 29 0
65 29 0
66 29 0
67 29 0
68 29 0
69 29 0
70 29 0
71 29 0
72 29 0
73 29 0
74 29 0
75 29 0
76 29 0
77 29 0
78 29 0
79 29 0
80 29 0
81 29 0
82 29 0
83 29 0
84 29 0
85 29 0
86 29 0
87 29 0
88 29 0
89 29 0
